OM,Year,Biomass
MOM_007,1961,1.412805781
MOM_007,1962,1.406463373
MOM_007,1963,1.394797028
MOM_007,1964,1.358561146
MOM_007,1965,1.319675216
MOM_007,1966,1.29954973
MOM_007,1967,1.277206419
MOM_007,1968,1.25876104
MOM_007,1969,1.241574764
MOM_007,1970,1.226041145
MOM_007,1971,1.210578948
MOM_007,1972,1.219891792
MOM_007,1973,1.231118003
MOM_007,1974,1.233191947
MOM_007,1975,1.233686696
MOM_007,1976,1.220069014
MOM_007,1977,1.219944375
MOM_007,1978,1.221238751
MOM_007,1979,1.192083282
MOM_007,1980,1.150927881
MOM_007,1981,1.084940283
MOM_007,1982,1.027675707
MOM_007,1983,0.958337897
MOM_007,1984,0.900413342
MOM_007,1985,0.873302351
MOM_007,1986,0.847056286
MOM_007,1987,0.805598636
MOM_007,1988,0.773588069
MOM_007,1989,0.759053641
MOM_007,1990,0.742159529
MOM_007,1991,0.718945867
MOM_007,1992,0.704845254
MOM_007,1993,0.693559696
MOM_007,1994,0.666358935
MOM_007,1995,0.639969944
MOM_007,1996,0.599287414
MOM_007,1997,0.582108417
MOM_007,1998,0.594523097
MOM_007,1999,0.616688434
MOM_007,2000,0.641825016
MOM_007,2001,0.655220597
MOM_007,2002,0.670236742
MOM_007,2003,0.679625666
MOM_007,2004,0.667665963
MOM_007,2005,0.65553925
MOM_007,2006,0.658083217
MOM_007,2007,0.690592489
MOM_007,2008,0.726112651
MOM_007,2009,0.751113768
MOM_007,2010,0.747565192
MOM_007,2011,0.758174862
MOM_007,2012,0.766581631
MOM_007,2013,0.748407957
MOM_007,2014,0.734899857
MOM_007,2015,0.722114493
MOM_007,2016,0.695811667
MOM_007,2017,0.680459515
MOM_007,2018,0.706477723
MOM_007,2019,0.757129626
MOM_007,2020,0.773922173
MOM_008,1950,1.540109645
MOM_008,1951,1.517938809
MOM_008,1952,1.505347291
MOM_008,1953,1.492397472
MOM_008,1954,1.479469412
MOM_008,1955,1.47143567
MOM_008,1956,1.462128298
MOM_008,1957,1.455689048
MOM_008,1958,1.442794954
MOM_008,1959,1.430321462
MOM_008,1960,1.411828333
MOM_008,1961,1.409865003
MOM_008,1962,1.403666102
MOM_008,1963,1.391359923
MOM_008,1964,1.351011123
MOM_008,1965,1.307777617
MOM_008,1966,1.286186725
MOM_008,1967,1.262270855
MOM_008,1968,1.242924571
MOM_008,1969,1.225120988
MOM_008,1970,1.209246864
MOM_008,1971,1.193469168
MOM_008,1972,1.20596096
MOM_008,1973,1.220515097
MOM_008,1974,1.224339106
MOM_008,1975,1.22607391
MOM_008,1976,1.211503334
MOM_008,1977,1.212161496
MOM_008,1978,1.2143642
MOM_008,1979,1.18176758
MOM_008,1980,1.13949767
MOM_008,1981,1.073394808
MOM_008,1982,1.018418553
MOM_008,1983,0.95026231
MOM_008,1984,0.89381267
MOM_008,1985,0.87090883
MOM_008,1986,0.848244445
MOM_008,1987,0.807467409
MOM_008,1988,0.775550796
MOM_008,1989,0.761750664
MOM_008,1990,0.745534106
MOM_008,1991,0.722530473
MOM_008,1992,0.709562465
MOM_008,1993,0.699361872
MOM_008,1994,0.670800689
MOM_008,1995,0.643603419
MOM_008,1996,0.600048184
MOM_008,1997,0.581424874
MOM_008,1998,0.594855859
MOM_008,1999,0.618363822
MOM_008,2000,0.644598826
MOM_008,2001,0.657706582
MOM_008,2002,0.673870752
MOM_008,2003,0.685015679
MOM_008,2004,0.672872915
MOM_008,2005,0.660513952
MOM_008,2006,0.663416919
MOM_008,2007,0.698150574
MOM_008,2008,0.735578386
MOM_008,2009,0.762869
MOM_008,2010,0.759350508
MOM_008,2011,0.771227387
MOM_008,2012,0.779845182
MOM_008,2013,0.759025716
MOM_008,2014,0.744331716
MOM_008,2015,0.731711072
MOM_008,2016,0.704501098
MOM_008,2017,0.689002359
MOM_008,2018,0.71853664
MOM_008,2019,0.776180192
MOM_008,2020,0.797255608
MOM_009,1950,1.538756611
MOM_009,1951,1.514859236
MOM_009,1952,1.501357803
MOM_009,1953,1.487558698
MOM_009,1954,1.473864794
MOM_009,1955,1.465513822
MOM_009,1956,1.455856836
MOM_009,1957,1.449346265
MOM_009,1958,1.435922353
MOM_009,1959,1.422991653
MOM_009,1960,1.403618653
MOM_009,1961,1.40212243
MOM_009,1962,1.396088958
MOM_009,1963,1.383446217
MOM_009,1964,1.340552275
MOM_009,1965,1.294631845
MOM_009,1966,1.272202477
MOM_009,1967,1.24741317
MOM_009,1968,1.22763417
MOM_009,1969,1.20959609
MOM_009,1970,1.193670229
MOM_009,1971,1.177859158
MOM_009,1972,1.192530238
MOM_009,1973,1.209342195
MOM_009,1974,1.214375469
MOM_009,1975,1.216942187
MOM_009,1976,1.201780335
MOM_009,1977,1.202911786
MOM_009,1978,1.20565606
MOM_009,1979,1.170838131
MOM_009,1980,1.128483237
MOM_009,1981,1.063506102
MOM_009,1982,1.011017942
MOM_009,1983,0.944535304
MOM_009,1984,0.889879228
MOM_009,1985,0.870386602
MOM_009,1986,0.850646663
MOM_009,1987,0.810939388
MOM_009,1988,0.779629629
MOM_009,1989,0.766680801
MOM_009,1990,0.751134997
MOM_009,1991,0.728415146
MOM_009,1992,0.716382247
MOM_009,1993,0.707114774
MOM_009,1994,0.677914514
MOM_009,1995,0.650398268
MOM_009,1996,0.605172705
MOM_009,1997,0.585731332
MOM_009,1998,0.599948273
MOM_009,1999,0.624448458
MOM_009,2000,0.651467984
MOM_009,2001,0.664438361
MOM_009,2002,0.681431545
MOM_009,2003,0.693848231
MOM_009,2004,0.681681153
MOM_009,2005,0.669252295
MOM_009,2006,0.672489812
MOM_009,2007,0.708780083
MOM_009,2008,0.747570031
MOM_009,2009,0.776369988
MOM_009,2010,0.772798003
MOM_009,2011,0.785371389
MOM_009,2012,0.794020295
MOM_009,2013,0.771347817
MOM_009,2014,0.755731419
MOM_009,2015,0.743105503
MOM_009,2016,0.71517783
MOM_009,2017,0.699511967
MOM_009,2018,0.731544026
MOM_009,2019,0.794153696
MOM_009,2020,0.818302817
