"","OM","M","sigmaR","h","CPUE CV","Len. Comp. Eff. Samp. Size","Q increase","Env. Covariate","Total","Survey","Mean_body_wt","Length_comp","Recruitment"
"136","135","0.3","0.2","0.75","0.6","20","1.01","FALSE",455.861,-104.694,122.936,478.468,-40.8603
"137","136","0.1","0.6","0.75","0.6","20","1.01","FALSE",601.547,-101.048,126.383,571.168,5.03849
"138","137","0.2","0.6","0.75","0.6","20","1.01","FALSE",475.114,-105.479,122.667,469.687,-11.7669
"139","138","0.3","0.6","0.75","0.6","20","1.01","FALSE",476.932,-104.471,122.998,471.247,-12.8551
"140","139","0.1","0.2","0.9","0.6","20","1.01","FALSE",547.734,-104.468,124.802,559.678,-32.2833
"141","140","0.2","0.2","0.9","0.6","20","1.01","FALSE",446.273,-106.566,122.927,470.474,-40.5674
"142","141","0.3","0.2","0.9","0.6","20","1.01","FALSE",458.585,-103.368,122.473,480.418,-40.9503
"143","142","0.1","0.6","0.9","0.6","20","1.01","FALSE",572.724,-100.903,123.865,548.362,1.3954
"144","143","0.2","0.6","0.9","0.6","20","1.01","FALSE",471.088,-105.583,122.727,466.486,-12.5475
"145","144","0.3","0.6","0.9","0.6","20","1.01","FALSE",478.502,-103.846,122.964,472.307,-12.9325
"146","145","0.1","0.2","0.6","0.3","2","1","TRUE",-63.995,-223.366,123.287,71.808,-35.7306
"147","146","0.2","0.2","0.6","0.3","2","1","TRUE",-86.8449,-221.379,120.796,51.6824,-37.9479
"148","147","0.3","0.2","0.6","0.3","2","1","TRUE",-86.0124,-218.676,121.166,50.7295,-39.2424
"149","148","0.1","0.6","0.6","0.3","2","1","TRUE",-41.7691,-226.719,122.939,72.7777,-10.7724
"150","149","0.2","0.6","0.6","0.3","2","1","TRUE",-65.4095,-226.023,120.879,51.9991,-12.2683
"151","150","0.3","0.6","0.6","0.3","2","1","TRUE",-63.6756,-222.745,121.291,50.5136,-12.7452
"152","151","0.1","0.2","0.75","0.3","2","1","TRUE",-72.1356,-224.835,122.223,67.7386,-37.2668
"153","152","0.2","0.2","0.75","0.3","2","1","TRUE",-91.2469,-224.214,120.947,51.351,-39.3368
"154","153","0.3","0.2","0.75","0.3","2","1","TRUE",-88.494,-219.914,121.125,50.9276,-40.6437
"155","154","0.1","0.6","0.75","0.3","2","1","TRUE",-47.4612,-227.304,122.177,68.9704,-11.3095
"156","155","0.2","0.6","0.75","0.3","2","1","TRUE",-67.6805,-227.999,121.046,52.015,-12.7494
"157","156","0.3","0.6","0.75","0.3","2","1","TRUE",-64.5041,-223.135,121.207,50.6884,-13.2757
"158","157","0.1","0.2","0.9","0.3","2","1","TRUE",-78.5904,-225.769,121.4,64.1436,-38.3695
"159","158","0.2","0.2","0.9","0.3","2","1","TRUE",-94.3496,-226.546,121.137,51.3164,-40.2655
"160","159","0.3","0.2","0.9","0.3","2","1","TRUE",-90.4901,-219.907,120.943,49.6514,-41.1908
"161","160","0.1","0.6","0.9","0.3","2","1","TRUE",-52.2649,-227.779,121.505,65.7096,-11.7047
"162","161","0.2","0.6","0.9","0.3","2","1","TRUE",-69.5122,-229.289,121.184,51.7224,-13.1372
"163","162","0.3","0.6","0.9","0.3","2","1","TRUE",-66.3243,-223.178,121.145,49.2268,-13.5282
"164","163","0.1","0.2","0.6","0.6","2","1","TRUE",36.3145,-117.123,123.744,71.5885,-41.9001
"165","164","0.2","0.2","0.6","0.6","2","1","TRUE",11.2918,-116.384,120.716,50.8298,-43.8737
"166","165","0.3","0.2","0.6","0.6","2","1","TRUE",10.588,-115.917,120.974,49.8143,-44.2886
"167","166","0.1","0.6","0.6","0.6","2","1","TRUE",62.7817,-119.548,123.073,70.0584,-10.8064
"168","167","0.2","0.6","0.6","0.6","2","1","TRUE",38.4277,-119.513,120.565,50.2509,-12.8784
"169","168","0.3","0.6","0.6","0.6","2","1","TRUE",37.9359,-118.738,120.798,49.1398,-13.2691
"170","169","0.1","0.2","0.75","0.6","2","1","TRUE",29.059,-117.234,122.693,66.1275,-42.5324
"171","170","0.2","0.2","0.75","0.6","2","1","TRUE",8.8568,-117.131,120.705,49.6645,-44.385
"172","171","0.3","0.2","0.75","0.6","2","1","TRUE",9.38436,-116.583,120.807,49.8685,-44.7169
"173","172","0.1","0.6","0.75","0.6","2","1","TRUE",57.0571,-119.229,122.233,65.4637,-11.4151
"174","173","0.2","0.6","0.75","0.6","2","1","TRUE",36.9506,-119.655,120.572,49.3659,-13.3358
"175","174","0.3","0.6","0.75","0.6","2","1","TRUE",37.3981,-118.881,120.667,49.2481,-13.6443
"176","175","0.1","0.2","0.9","0.6","2","1","TRUE",22.8616,-117.044,121.717,61.4738,-43.2898
"177","176","0.2","0.2","0.9","0.6","2","1","TRUE",7.59647,-117.537,120.707,49.0601,-44.6368
"178","177","0.3","0.2","0.9","0.6","2","1","TRUE",9.26565,-116.679,120.677,50.0346,-44.7773
"179","178","0.1","0.6","0.9","0.6","2","1","TRUE",52.1641,-118.939,121.446,61.6404,-11.9864
"180","179","0.2","0.6","0.9","0.6","2","1","TRUE",36.0586,-119.774,120.579,48.8474,-13.5966
"181","180","0.3","0.6","0.9","0.6","2","1","TRUE",37.3192,-118.873,120.601,49.4012,-13.8186
"182","181","0.1","0.2","0.6","0.3","20","1","TRUE",518.532,-216.948,133.485,623.283,-21.2952
"183","182","0.2","0.2","0.6","0.3","20","1","TRUE",356.417,-217.463,122.486,484.856,-33.4673
"184","183","0.3","0.2","0.6","0.3","20","1","TRUE",351.842,-213.873,123.166,479.955,-37.4196
"185","184","0.1","0.6","0.6","0.3","20","1","TRUE",533.798,-214.367,130.282,607.64,10.2367
"186","185","0.2","0.6","0.6","0.3","20","1","TRUE",378.421,-218.239,122.403,484.624,-10.3721
"187","186","0.3","0.6","0.6","0.3","20","1","TRUE",371.946,-215.822,123.03,477.435,-12.7091
"188","187","0.1","0.2","0.75","0.3","20","1","TRUE",480.35,-215.85,128.55,593.735,-26.0916
"189","188","0.2","0.2","0.75","0.3","20","1","TRUE",344.999,-218.217,122.561,477.666,-37.0152
"190","189","0.3","0.2","0.75","0.3","20","1","TRUE",351.082,-214.387,122.801,482.254,-39.5986
"191","190","0.1","0.6","0.75","0.3","20","1","TRUE",502.067,-214.092,126.673,582.524,6.95595
"192","191","0.2","0.6","0.75","0.3","20","1","TRUE",370.056,-218.829,122.451,478.295,-11.8659
"193","192","0.3","0.6","0.75","0.3","20","1","TRUE",372.357,-216.05,122.997,478.628,-13.2289
"194","193","0.1","0.2","0.9","0.3","20","1","TRUE",447.908,-214.692,124.961,567.534,-29.9003
"195","194","0.2","0.2","0.9","0.3","20","1","TRUE",339.286,-218.836,122.639,474.522,-39.0445
"196","195","0.3","0.2","0.9","0.3","20","1","TRUE",354.309,-212.571,122.274,484.944,-40.3529
"197","196","0.1","0.6","0.9","0.3","20","1","TRUE",474.394,-213.66,124.095,559.969,3.98586
"198","197","0.2","0.6","0.9","0.3","20","1","TRUE",364.998,-219.404,122.492,474.672,-12.7665
"199","198","0.3","0.6","0.9","0.3","20","1","TRUE",373.748,-215.632,122.837,479.899,-13.3685
"200","199","0.1","0.2","0.6","0.6","20","1","TRUE",613.098,-114.617,133.902,616.911,-23.1043
"201","200","0.2","0.2","0.6","0.6","20","1","TRUE",451.891,-115.272,122.735,480.785,-36.3616
"202","201","0.3","0.2","0.6","0.6","20","1","TRUE",445.189,-115.267,123.135,476.843,-39.5343
"203","202","0.1","0.6","0.6","0.6","20","1","TRUE",624.24,-111.268,129.73,596.309,9.46259
"204","203","0.2","0.6","0.6","0.6","20","1","TRUE",473.847,-114.461,122.604,475.723,-10.0241
"205","204","0.3","0.6","0.6","0.6","20","1","TRUE",466.116,-114.63,122.948,470.146,-12.3611
"206","205","0.1","0.2","0.75","0.6","20","1","TRUE",573.406,-113.684,128.545,586.485,-27.9461
"207","206","0.2","0.2","0.75","0.6","20","1","TRUE",441.325,-115.913,122.802,473.439,-39.0076
"208","207","0.3","0.2","0.75","0.6","20","1","TRUE",444.758,-115.323,123.016,477.83,-40.7767
"209","208","0.1","0.6","0.75","0.6","20","1","TRUE",592.012,-110.933,126.306,571.146,5.48688
"210","209","0.2","0.6","0.75","0.6","20","1","TRUE",465.985,-114.752,122.635,469.651,-11.5538
"211","210","0.3","0.6","0.75","0.6","20","1","TRUE",466.42,-114.563,122.93,470.887,-12.8462
"212","211","0.1","0.2","0.9","0.6","20","1","TRUE",539.642,-113.105,124.879,559.737,-31.8749
"213","212","0.2","0.2","0.9","0.6","20","1","TRUE",436.331,-116.39,122.823,470.405,-40.5126
"214","213","0.3","0.2","0.9","0.6","20","1","TRUE",446.536,-114.841,122.521,479.822,-40.9773
"215","214","0.1","0.6","0.9","0.6","20","1","TRUE",563.643,-110.47,123.862,548.39,1.85559
"216","215","0.2","0.6","0.9","0.6","20","1","TRUE",461.535,-115.134,122.672,466.401,-12.4096
"217","216","0.3","0.6","0.9","0.6","20","1","TRUE",467.544,-114.37,122.906,471.987,-12.9874
"218","217","0.1","0.2","0.6","0.3","2","1.01","TRUE",-65.83,-222.985,123.345,70.9915,-37.1869
"219","218","0.2","0.2","0.6","0.3","2","1.01","TRUE",-88.0035,-221.721,121.051,51.2043,-38.5411
"220","219","0.3","0.2","0.6","0.3","2","1.01","TRUE",-86.7642,-219.961,121.53,51.0326,-39.3769
"221","220","0.1","0.6","0.6","0.3","2","1.01","TRUE",-41.9166,-225.905,123.213,72.0043,-11.2353
"222","221","0.2","0.6","0.6","0.3","2","1.01","TRUE",-66.0842,-226.234,121.144,51.4178,-12.4159
"223","222","0.3","0.6","0.6","0.3","2","1.01","TRUE",-64.4047,-223.93,121.58,50.6894,-12.7555
"224","223","0.1","0.2","0.75","0.3","2","1.01","TRUE",-74.4135,-224.579,122.326,66.2705,-38.4354
"225","224","0.2","0.2","0.75","0.3","2","1.01","TRUE",-92.662,-225.402,121.361,51.0546,-39.6811
"226","225","0.3","0.2","0.75","0.3","2","1.01","TRUE",-89.3151,-221.936,121.689,51.4566,-40.5373
"227","226","0.1","0.6","0.75","0.3","2","1.01","TRUE",-48.3206,-226.611,122.356,67.6905,-11.761
"228","227","0.2","0.6","0.75","0.3","2","1.01","TRUE",-68.6511,-228.674,121.401,51.486,-12.87
"229","228","0.3","0.6","0.75","0.3","2","1.01","TRUE",-67.1192,-225.121,121.822,49.3725,-13.2037
"230","229","0.1","0.2","0.9","0.3","2","1.01","TRUE",-80.8969,-225.569,121.563,62.2916,-39.1876
"231","230","0.2","0.2","0.9","0.3","2","1.01","TRUE",-95.657,-228.341,121.685,51.1935,-40.203
"232","231","0.3","0.2","0.9","0.3","2","1.01","TRUE",-89.6487,-221.969,121.485,51.0414,-40.2217
"233","232","0.1","0.6","0.9","0.3","2","1.01","TRUE",-53.6678,-227.258,121.66,64.0191,-12.0934
"234","233","0.2","0.6","0.9","0.3","2","1.01","TRUE",-70.7814,-230.601,121.602,51.3834,-13.1744
"235","234","0.3","0.6","0.9","0.3","2","1.01","TRUE",-66.8666,-224.832,121.542,49.8261,-13.4162
"236","235","0.1","0.2","0.6","0.6","2","1.01","TRUE",34.6312,-117.552,123.801,70.8927,-42.5148
"237","236","0.2","0.2","0.6","0.6","2","1.01","TRUE",10.4724,-116.589,120.9,50.3266,-44.1695
"238","237","0.3","0.2","0.6","0.6","2","1.01","TRUE",10.533,-116.051,121.159,49.8829,-44.4654
"239","238","0.1","0.6","0.6","0.6","2","1.01","TRUE",62.2288,-119.577,123.244,69.7507,-11.1934
"240","239","0.2","0.6","0.6","0.6","2","1.01","TRUE",37.9068,-119.58,120.714,49.8238,-13.0539
"241","240","0.3","0.6","0.6","0.6","2","1.01","TRUE",37.8965,-118.895,120.959,49.147,-13.3215
"242","241","0.1","0.2","0.75","0.6","2","1.01","TRUE",27.1131,-117.799,122.767,65.2014,-43.0606
"243","242","0.2","0.2","0.75","0.6","2","1.01","TRUE",8.32137,-117.422,120.981,49.2853,-44.5263
"244","243","0.3","0.2","0.75","0.6","2","1.01","TRUE",9.81056,-116.782,121.151,50.0757,-44.6442
"245","244","0.1","0.6","0.75","0.6","2","1.01","TRUE",56.0366,-119.454,122.358,64.9062,-11.7779
"246","245","0.2","0.6","0.75","0.6","2","1.01","TRUE",36.4945,-119.826,120.766,48.9925,-13.4409
"247","246","0.3","0.6","0.75","0.6","2","1.01","TRUE",37.5709,-119.099,120.897,49.3851,-13.6208
"248","247","0.1","0.2","0.9","0.6","2","1.01","TRUE",20.9746,-117.681,121.84,60.4901,-43.6784
