"","OM","M","sigmaR","h","CPUE lambda","Increase in catchability","Environmental covariate","SSB0","SSB_MSY","R0","F_FMSY","MSY","Depletion","SB_SBMSY"
"146",146,"0.2","0.2","0.6","20","1","1",164859,1198.9,51462.7,1.19,11389.9,0.27,0.89
"147",147,"0.3","0.2","0.6","20","1","1",92027.8,1984.46,27162.9,0.97,12453.6,0.3,1.02
"148",148,"0.1","0.6","0.6","20","1","1",397421,644.06,134038,1.35,9825.79,0.31,0.91
"149",149,"0.2","0.6","0.6","20","1","1",179951,1308.66,56171.8,1.17,12374.7,0.28,0.91
"150",150,"0.3","0.6","0.6","20","1","1",109850,2368.78,32428.6,0.82,14773.3,0.32,1.11
"151",151,"0.1","0.2","0.75","20","1","1",332523,538.88,94171.9,1.16,10541.3,0.28,0.99
"152",152,"0.2","0.2","0.75","20","1","1",136388,991.85,34259.8,1.01,12127.4,0.25,1.02
"153",153,"0.3","0.2","0.75","20","1","1",75421.3,1626.36,17307.4,0.78,13356.4,0.29,1.27
"154",154,"0.1","0.6","0.75","20","1","1",346193,561.04,97890.9,1.13,10801.5,0.28,1.01
"155",155,"0.2","0.6","0.75","20","1","1",150932,1097.62,37899.6,0.97,13348.7,0.26,1.05
"156",156,"0.3","0.6","0.75","20","1","1",90587.2,1953.39,20788.2,0.64,15921.9,0.32,1.41
"157",157,"0.1","0.2","0.9","20","1","1",288866,468.13,62758,0.96,11234.6,0.25,1.15
"158",158,"0.2","0.2","0.9","20","1","1",116051,843.96,20301.6,0.78,12926.1,0.24,1.37
"159",159,"0.3","0.2","0.9","20","1","1",67065.4,1446.18,9926.9,0.52,15178.5,0.31,2.12
"160",160,"0.1","0.6","0.9","20","1","1",286611,464.48,62301.3,1.01,11174.9,0.24,1.13
"161",161,"0.2","0.6","0.9","20","1","1",131123,953.56,22896.1,0.72,14470.8,0.25,1.45
"162",162,"0.3","0.6","0.9","20","1","1",77306.4,1667.01,11444.1,0.48,17521,0.31,2.14
"163",163,"0.1","0.2","0.6","0.05","1.01","1",376049,609.42,126713,2.12,8994.3,0.22,0.68
"164",164,"0.2","0.2","0.6","0.05","1.01","1",172472,1254.26,53748.1,1.07,11549.6,0.31,1.03
"165",165,"0.3","0.2","0.6","0.05","1.01","1",343083,7398.12,101351,0.12,45364.5,0.85,2.94
"166",166,"0.1","0.6","0.6","0.05","1.01","1",372948,604.4,125594,2.38,8845.61,0.21,0.65
"167",167,"0.2","0.6","0.6","0.05","1.01","1",176523,1283.72,55001.7,1.61,11779.3,0.21,0.75
"168",168,"0.3","0.6","0.6","0.05","1.01","1",340552,7343.56,100612,0.15,44975.2,0.73,2.56
"169",169,"0.1","0.2","0.75","0.05","1.01","1",325120,526.89,91833.4,1.93,9897.18,0.18,0.68
"170",170,"0.2","0.2","0.75","0.05","1.01","1",153796,1118.45,38453.8,0.71,13187,0.36,1.47
"171",171,"0.3","0.2","0.75","0.05","1.01","1",342494,7385.42,78604.1,0.08,59024.7,0.86,3.86
"172",172,"0.1","0.6","0.75","0.05","1.01","1",320321,519.11,90335.3,2.43,9664.84,0.16,0.61
"173",173,"0.2","0.6","0.75","0.05","1.01","1",155367,1129.87,38836.1,1.08,13293.4,0.24,1.04
"174",174,"0.3","0.6","0.75","0.05","1.01","1",346357,7468.73,79498,0.1,59614.8,0.75,3.42
"175",175,"0.1","0.2","0.9","0.05","1.01","1",288818,468.06,62203.5,1.54,10765.8,0.16,0.79
"176",176,"0.2","0.2","0.9","0.05","1.01","1",141952,1032.31,24499.3,0.45,15153,0.4,2.35
"177",177,"0.3","0.2","0.9","0.05","1.01","1",341469,7363.32,50317.5,0.05,75501.2,0.87,6.07
"178",178,"0.1","0.6","0.9","0.05","1.01","1",281597,456.35,60395.7,2.32,10427.1,0.12,0.63
"179",179,"0.2","0.6","0.9","0.05","1.01","1",142964,1039.67,24660.8,0.67,15239.5,0.27,1.69
"180",180,"0.3","0.6","0.9","0.05","1.01","1",349103,7527.94,51446,0.06,77088.4,0.77,5.43
"181",181,"0.1","0.2","0.6","1","1.01","1",387599,628.14,130642,1.76,9301.29,0.25,0.76
"182",182,"0.2","0.2","0.6","1","1.01","1",166256,1209.06,51822.2,1.27,11233,0.26,0.85
"183",183,"0.3","0.2","0.6","1","1.01","1",100881,2175.37,29793.6,0.73,13561.4,0.4,1.38
"184",184,"0.1","0.6","0.6","1","1.01","1",398326,645.52,134203,1.85,9504.78,0.24,0.74
"185",185,"0.2","0.6","0.6","1","1.01","1",185913,1352.01,57942.1,1.29,12488.9,0.24,0.82
"186",186,"0.3","0.6","0.6","1","1.01","1",139287,3003.53,41155,0.51,18577.2,0.45,1.58
"187",187,"0.1","0.2","0.75","1","1.01","1",334748,542.49,94600.8,1.55,10208.1,0.22,0.79
"188",188,"0.2","0.2","0.75","1","1.01","1",140295,1020.27,35126.7,1,12207.7,0.25,1.04
"189",189,"0.3","0.2","0.75","1","1.01","1",99822.9,2152.55,22927.8,0.42,17462.3,0.5,2.21
"190",190,"0.1","0.6","0.75","1","1.01","1",344395,558.12,97236.8,1.64,10426.2,0.21,0.77
"191",191,"0.2","0.6","0.75","1","1.01","1",156560,1138.55,39176,1.02,13532.2,0.24,1
"192",192,"0.3","0.6","0.75","1","1.01","1",110062,2373.35,25277.7,0.46,19244.3,0.42,1.88
"193",193,"0.1","0.2","0.9","1","1.01","1",295643,479.12,63738.4,1.27,11036.4,0.19,0.91
"194",194,"0.2","0.2","0.9","1","1.01","1",125437,912.22,21757.1,0.67,13596.9,0.28,1.62
"195",195,"0.3","0.2","0.9","1","1.01","1",172326,3715.98,25419.6,0.12,38227.3,0.73,5.04
"196",196,"0.1","0.6","0.9","1","1.01","1",304363,493.25,65453.7,1.36,11268.8,0.18,0.89
"197",197,"0.2","0.6","0.9","1","1.01","1",137839,1002.4,23883.2,0.72,14888.1,0.24,1.47
"198",198,"0.3","0.6","0.9","1","1.01","1",172873,3727.77,25511.2,0.14,38361.1,0.61,4.25
"199",199,"0.1","0.2","0.6","20","1.01","1",363962,589.83,122819,2,9260.97,0.22,0.66
"200",200,"0.2","0.2","0.6","20","1.01","1",159824,1162.28,49876.7,1.77,11135.5,0.17,0.58
"201",201,"0.3","0.2","0.6","20","1.01","1",89583.2,1931.74,26431.9,1.4,12122.1,0.18,0.65
"202",202,"0.1","0.6","0.6","20","1.01","1",376363,609.93,126938,2.03,9450.1,0.21,0.65
"203",203,"0.2","0.6","0.6","20","1.01","1",173764,1263.66,54228,1.75,12047.6,0.18,0.59
"204",204,"0.3","0.6","0.6","20","1.01","1",101920,2197.78,30077.6,1.27,13800.1,0.19,0.67
"205",205,"0.1","0.2","0.75","20","1.01","1",313333,507.78,88730.5,1.73,10143,0.19,0.69
"206",206,"0.2","0.2","0.75","20","1.01","1",132093,960.62,33173.1,1.48,11839.2,0.16,0.65
"207",207,"0.3","0.2","0.75","20","1.01","1",70732.8,1525.26,16187,1.19,12656.7,0.16,0.73
"208",208,"0.1","0.6","0.75","20","1.01","1",310750,503.6,87991,1.82,10085.4,0.18,0.68
"209",209,"0.2","0.6","0.75","20","1.01","1",146260,1063.64,36719.2,1.41,13036.5,0.16,0.68
"210",210,"0.3","0.6","0.75","20","1.01","1",82167,1771.82,18857,1.01,14559.7,0.18,0.83
"211",211,"0.1","0.2","0.9","20","1.01","1",274161,444.3,59532.1,1.43,10891.5,0.16,0.79
"212",212,"0.2","0.2","0.9","20","1.01","1",110207,801.45,19347.7,1.15,12418.6,0.14,0.84
"213",213,"0.3","0.2","0.9","20","1.01","1",60577.5,1306.27,8991.29,0.81,13841.8,0.18,1.2
"214",214,"0.1","0.6","0.9","20","1.01","1",271063,439.28,58856.3,1.53,10806.7,0.16,0.77
"215",215,"0.2","0.6","0.9","20","1.01","1",124513,905.49,21773.5,1.06,13859,0.15,0.91
"216",216,"0.3","0.6","0.9","20","1.01","1",68883,1485.37,10099.5,0.72,15796.7,0.18,1.28
